MODULE,LABEL,ADDRESS,ACCESS,UNITS,COMMENT
ETAS,KE_ETAS_SLEW_NVMEM_MODE,0000804E,c,Slew_Modes,Use this cal when slewing with ETAS to select thedesired mode.
ETAS,KE_ETAS_SLEW_NVMEM_ABS,0000804F,c,NVMEM_Action,$0000438C
ETAS,KE_ETAS_SLEW_NVMEM_MOD,00008050,c,NVMEM_Action,$0000438E
ETAS,KE_ETAS_SLEW_TCS_DISCRETE_MODE,00008051,c,Slew_Modes,Use this cal when slewing with ETAS to select thedesired mode.
ETAS,KE_ETAS_SLEW_TCS_DISCRETE_ABS,00008052,c,BOOLEAN,$00004390
ETAS,KE_ETAS_SLEW_TCS_DISCRETE_MOD,00008053,c,BOOLEAN,This cal is modifiable at runtime when using ETAS instrumentation and is added to a variables contents when in Modify mode.
ETAS,KE_ETAS_SLEW_TCS_DC_MODE,00008054,c,Slew_Modes,Use this cal when slewing with ETAS to select thedesired mode.
ETAS,KE_ETAS_SLEW_TCS_DC_ABS,00008056,c,Percent,$00004391
ETAS,KE_ETAS_SLEW_TCS_DC_MOD,00008058,c,Percent,This cal is modifiable at runtime when using ETAS instrumentation and is added to a variables contents when in Modify mode.
ETAS,KE_ETAS_SLEW_SPARK_CRANK_MODE,0000805A,c,Slew_Modes,Use this cal when slewing with ETAS to select thedesired mode.
ETAS,KE_ETAS_SLEW_SPARK_CRANK_ABS,0000805C,c,Degrees,$00004392
ETAS,KE_ETAS_SLEW_SPARK_CRANK_MOD,0000805E,c,Degrees,This cal is modifiable at runtime when using ETAS instrumentation and is added to a variables contents when in Modify mode.
ETAS,KE_ETAS_SLEW_SPARK_RUN_MODE,00008060,c,Slew_Modes,Use this cal when slewing with ETAS to select thedesired mode.
ETAS,KE_ETAS_SLEW_SPARK_RUN_ABS,00008062,c,Degrees,$00004393
ETAS,KE_ETAS_SLEW_SPARK_RUN_MOD,00008064,c,Degrees,This cal is modifiable at runtime when using ETAS instrumentation and is added to a variables contents when in Modify mode.
ETAS,KE_ETAS_SLEW_IAC_AIRFLOW_MODE,00008066,c,Slew_Modes,Use this cal when slewing with ETAS to select thedesired mode.
ETAS,KE_ETAS_SLEW_IAC_AIRFLOW_ABS,00008068,c,Grams/Second,$00004394
ETAS,KE_ETAS_SLEW_IAC_AIRFLOW_MOD,0000806A,c,Grams/Second,This cal is modifiable at runtime when using ETAS instrumentation and is added to a variables contents when in Modify mode.
ETAS,KE_ETAS_SLEW_IAC_RPM_MODE,0000806C,c,Slew_Modes,Use this cal when slewing with ETAS to select thedesired mode.
ETAS,KE_ETAS_SLEW_IAC_RPM_ABS,0000806E,c,RPM,$00004395
ETAS,KE_ETAS_SLEW_IAC_RPM_MOD,00008070,c,RPM,This cal is modifiable at runtime when using ETAS instrumentation and is added to a variables contents when in Modify mode.
ETAS,KE_ETAS_SLEW_IAC_POSITION_MODE,00008072,c,Slew_Modes,Use this cal when slewing with ETAS to select thedesired mode.
ETAS,KE_ETAS_SLEW_IAC_POSITION_ABS,00008074,c,Steps,$00004396
ETAS,KE_ETAS_SLEW_IAC_POSITION_MOD,00008076,c,Steps,This cal is modifiable at runtime when using ETAS instrumentation and is added to a variables contents when in Modify mode.
ETAS,KE_ETAS_SLEW_OIL_LEVEL_MODE,00008078,c,Slew_Modes,Use this cal when slewing with ETAS to select thedesired mode.
ETAS,KE_ETAS_SLEW_OIL_LEVEL_ABS,00008079,c,BOOLEAN,$00004397
ETAS,KE_ETAS_SLEW_OIL_LEVEL_MOD,0000807A,c,BOOLEAN,This cal is modifiable at runtime when using ETAS instrumentation and is added to a variables contents when in Modify mode.
ETAS,KE_ETAS_SLEW_TCC_CONTROL_MODE,0000807B,c,Slew_Modes,Use this cal when slewing with ETAS to select the desired mode.
ETAS,KE_ETAS_SLEW_TCC_CONTROL_ABS,0000807C,c,TCC_Slew_Control_Type,$00004398
ETAS,KE_ETAS_SLEW_DES_TORQ_REDUC_MODE,0000807D,c,Slew_Modes,Use this cal when slewing with ETAS to select thedesired mode.
ETAS,KE_ETAS_SLEW_DES_TORQ_REDUC_ABS,0000807E,c,Percent,$00004399
ETAS,KE_ETAS_SLEW_FREEZE_ADAPT_MODE,00008080,c,Slew_Modes,Use this cal when slewing with ETAS to select thedesired mode.
ETAS,KE_ETAS_SLEW_FREEZE_ADAPT_ABS,00008081,c,Freeze_Adapt_Set,$0000439A
ETAS,KE_ETAS_SLEW_PRESSURE_MAN_MODE,00008082,c,Slew_Modes,Use this cal when slewing with ETAS to select thedesired mode.
ETAS,KE_ETAS_SLEW_PRESSURE_MAN_ABS,00008084,c,PSI,$0000439B
ETAS,KE_ETAS_SLEW_PRESSURE_MAN_MOD,00008086,c,PSI,This cal is modifiable at runtime when using ETAS instrumentation and is added to a variables contents when in Modify mode.
ETAS,KE_ETAS_SLEW_BASE_PRESSURE_MODE,00008088,c,Slew_Modes,Use this cal when slewing with ETAS to select thedesired mode.
ETAS,KE_ETAS_SLEW_BASE_PRESSURE_ABS,0000808A,c,PSI,$0000439C
ETAS,KE_ETAS_SLEW_BASE_PRESSURE_MOD,0000808C,c,PSI,This cal is modifiable at runtime when using ETAS instrumentation and is added to a variables contents when in Modify mode.
ETAS,KE_ETAS_SLEW_SHIFT_PRESSURE_MODE,0000808E,c,Slew_Modes,Use this cal when slewing with ETAS to select thedesired mode.
ETAS,KE_ETAS_SLEW_SHIFT_PRESSURE_ABS,00008090,c,PSI,$0000439D
ETAS,KE_ETAS_SLEW_SHIFT_PRESSURE_MOD,00008092,c,PSI,This cal is modifiable at runtime when using ETAS instrumentation and is added to a variables contents when in Modify mode.
ETAS,KE_ETAS_SLEW_TCC_APP_2_SLEW_MODE,00008094,c,Slew_Modes,Use this cal when slewing with ETAS to select thedesired mode.
ETAS,KE_ETAS_SLEW_TCC_APP_2_SLEW_ABS,00008096,c,MPH,$0000439E
ETAS,KE_ETAS_SLEW_TCC_APP_3_SLEW_MODE,00008098,c,Slew_Modes,Use this cal when slewing with ETAS to select thedesired mode.
ETAS,KE_ETAS_SLEW_TCC_APP_3_SLEW_ABS,0000809A,c,MPH,$0000439F
ETAS,KE_ETAS_SLEW_TCC_APP_4_SLEW_MODE,0000809C,c,Slew_Modes,Use this cal when slewing with ETAS to select thedesired mode.
ETAS,KE_ETAS_SLEW_TCC_APP_4_SLEW_ABS,0000809E,c,MPH,$000043A0
ETAS,KE_ETAS_SLEW_TCC_REL_2_SLEW_MODE,000080A0,c,Slew_Modes,Use this cal when slewing with ETAS to select thedesired mode.
ETAS,KE_ETAS_SLEW_TCC_REL_2_SLEW_ABS,000080A2,c,MPH,$000043A1
ETAS,KE_ETAS_SLEW_TCC_REL_3_SLEW_MODE,000080A4,c,Slew_Modes,Use this cal when slewing with ETAS to select thedesired mode.
ETAS,KE_ETAS_SLEW_TCC_REL_3_SLEW_ABS,000080A6,c,MPH,$000043A2
ETAS,KE_ETAS_SLEW_TCC_REL_4_SLEW_MODE,000080A8,c,Slew_Modes,Use this cal when slewing with ETAS to select thedesired mode.
ETAS,KE_ETAS_SLEW_TCC_REL_4_SLEW_ABS,000080AA,c,MPH,$000043A3
ETAS,KE_ETAS_SLEW_TCC_REL_4_SLEW_MOD,000080AC,c,MPH,This cal is modifiable at runtime when using ETAS instrumentation and is added to a variables contents when in Modify mode.
ETAS,KE_ETAS_SLEW_TCC_APP_OP_PT_MODE,000080AE,c,Slew_Modes,Use this cal when slewing with ETAS to select thedesired mode.
ETAS,KE_ETAS_SLEW_TCC_APP_OP_PT_ABS,000080B0,c,PSI,$000043A4
ETAS,KE_ETAS_SLEW_TCC_APP_OP_PT_MOD,000080B2,c,PSI,This cal is modifiable at runtime when using ETAS instrumentation and is added to a variables contents when in Modify mode.
ETAS,KE_ETAS_SLEW_TCC_APPLY_RATE_MODE,000080B4,c,Slew_Modes,Use this cal when slewing with ETAS to select thedesired mode.
ETAS,KE_ETAS_SLEW_TCC_APPLY_RATE_ABS,000080B6,c,PSI/Sec,$000043A5
ETAS,KE_ETAS_SLEW_TCC_APPLY_RATE_MOD,000080B8,c,PSI/Sec,This cal is modifiable at runtime when using ETAS instrumentation and is added to a variables contents when in Modify mode.
ETAS,KE_ETAS_SLEW_TCC_ON_REF_SLP_MODE,000080BA,c,Slew_Modes,Use this cal when slewing with ETAS to select thedesired mode.
ETAS,KE_ETAS_SLEW_TCC_ON_REF_SLP_ABS,000080BC,c,RPM,$000043A6
ETAS,KE_ETAS_SLEW_TCC_ON_REF_SLP_MOD,000080BE,c,RPM,This cal is modifiable at runtime when using ETAS instrumentation and is added to a variables contents when in Modify mode.
ETAS,KE_ETAS_SLEW_TCC_REL_TIME_MODE,000080C0,c,Slew_Modes,Use this cal when slewing with ETAS to select thedesired mode.
ETAS,KE_ETAS_SLEW_TCC_REL_TIME_ABS,000080C2,c,Seconds,$000043A7
ETAS,KE_ETAS_SLEW_TCC_REL_TIME_MOD,000080C4,c,Seconds,This cal is modifiable at runtime when using ETAS instrumentation and is added to a variables contents when in Modify mode.
ETAS,KE_ETAS_SLEW_TCC_CAPACITY_MODE,000080C6,c,Slew_Modes,Use this cal when slewing with ETAS to select thedesired mode.
ETAS,KE_ETAS_SLEW_TCC_CAPACITY_ABS,000080C8,c,Percent,$000043A8
ETAS,KE_ETAS_SLEW_TCC_CAPACITY_MOD,000080CA,c,Percent,This cal is modifiable at runtime when using ETAS instrumentation and is added to a variables contents when in Modify mode.
ETAS,KE_ETAS_SLEW_THR_REL_OP_PT_MODE,000080CC,c,Slew_Modes,Use this cal when slewing with ETAS to select thedesired mode.
ETAS,KE_ETAS_SLEW_THR_REL_OP_PT_ABS,000080CE,c,Capacity,$000043A9
ETAS,KE_ETAS_SLEW_THR_REL_OP_PT_MOD,000080D0,c,Capacity,This cal is modifiable at runtime when using ETAS instrumentation and is added to a variables contents when in Modify mode.
ETAS,KE_ETAS_SLEW_THR_REL_RATE_MODE,000080D2,c,Slew_Modes,Use this cal when slewing with ETAS to select thedesired mode.
ETAS,KE_ETAS_SLEW_THR_REL_RATE_ABS,000080D4,c,Capacity/Sec,$000043AA
ETAS,KE_ETAS_SLEW_THR_REL_RATE_MOD,000080D6,c,Capacity/Sec,This cal is modifiable at runtime when using ETAS instrumentation and is added to a variables contents when in Modify mode.
ETAS,KE_ETAS_SLEW_1_2_NORM_LINE_MODE,000080D8,c,Slew_Modes,Use this cal when slewing with ETAS to select thedesired mode.
ETAS,KE_ETAS_SLEW_1_2_NORM_LINE_ABS,000080DA,c,MPH,$000043AB
ETAS,KE_ETAS_SLEW_2_3_NORM_LINE_MODE,000080DC,c,Slew_Modes,Use this cal when slewing with ETAS to select thedesired mode.
ETAS,KE_ETAS_SLEW_2_3_NORM_LINE_ABS,000080DE,c,MPH,$000043AC
ETAS,KE_ETAS_SLEW_3_4_NORM_LINE_MODE,000080E0,c,Slew_Modes,Use this cal when slewing with ETAS to select thedesired mode.
ETAS,KE_ETAS_SLEW_3_4_NORM_LINE_ABS,000080E2,c,MPH,$000043AD
ETAS,KE_ETAS_SLEW_2_1_NORM_LINE_MODE,000080E4,c,Slew_Modes,Use this cal when slewing with ETAS to select thedesired mode.
ETAS,KE_ETAS_SLEW_2_1_NORM_LINE_ABS,000080E6,c,MPH,$000043AE
ETAS,KE_ETAS_SLEW_3_2_NORM_LINE_MODE,000080E8,c,Slew_Modes,Use this cal when slewing with ETAS to select thedesired mode.
ETAS,KE_ETAS_SLEW_3_2_NORM_LINE_ABS,000080EA,c,MPH,$000043AF
ETAS,KE_ETAS_SLEW_4_3_NORM_LINE_MODE,000080EC,c,Slew_Modes,Use this cal when slewing with ETAS to select thedesired mode.
ETAS,KE_ETAS_SLEW_4_3_NORM_LINE_ABS,000080EE,c,MPH,$000043B0
ETAS,KE_ETAS_SLEW_ADAPT_K_FACTOR_MODE,000080F0,c,Slew_Modes,Use this cal when slewing with ETAS to select thedesired mode.
ETAS,KE_ETAS_SLEW_ADAPT_K_FACTOR_ABS,000080F2,c,RPM_per_SQRTNM_Symm_Type,$000043B1
ETAS,KE_ETAS_SLEW_TCC_ADAP_CELLS_MODE,000080F4,c,Slew_Modes,Use this cal when slewing with ETAS to select thedesired mode.
ETAS,KE_ETAS_SLEW_TCC_ADAP_CELLS_ABS,000080F5,c,BOOLEAN,$000043B2
ETAS,KE_ETAS_SLEW_ETC_S_S_STAB_MODE,000080F6,c,Slew_Modes,Use this cal when slewing with ETAS to select thedesired mode.
ETAS,KE_ETAS_SLEW_ETC_S_S_STAB_ABS,000080F7,c,BOOLEAN,$000043B3
ETAS,KE_ETAS_SLEW_TCC_AD_CNF_FCT_MODE,000080F8,c,Slew_Modes,Use this cal when slewing with ETAS to select thedesired mode.
ETAS,KE_ETAS_SLEW_TCC_AD_CNF_FCT_ABS,000080F9,c,BOOLEAN,$000043B4
ETAS,KE_ETAS_SLEW_ALT_PATTERN_SW_MODE,000080FA,c,Slew_Modes,Use this cal when slewing with ETAS to select thedesired mode.
ETAS,KE_ETAS_SLEW_ALT_PATTERN_SW_ABS,000080FB,c,BOOLEAN,$000043B5
ETAS,KE_ETAS_SLEW_GEAR_OVERRIDE_MODE,000080FC,c,Slew_Modes,Use this cal when slewing with ETAS to select thedesired mode.
ETAS,KE_ETAS_SLEW_GEAR_OVERRIDE_ABS,000080FD,c,Slew_Gear,$000043B6
ETAS,KE_ETAS_SLEW_PRELD_ADP_CEL_MODE,000080FE,c,Slew_Modes,Use this cal when slewing with ETAS to select thedesired mode.
ETAS,KE_ETAS_SLEW_PRELD_ADP_CEL_ABS,000080FF,c,Slew_Preload,$000043B7
ETAS,KE_ETAS_SLEW_DUMMY_ABS,00008100,c,Byte,$000043B8
ETAS,KE_ETAS_SLEW_DUMMY_MOD,00008101,c,Byte,$000043B9
ETAS,KE_ETAS_PAD_BYTE_4,00008102,c,Byte,ETAS Pad Byte is used to place slew cals on the proper byte boundry. Changing it's value does nothing.
ETAS,KE_ETAS_PAD_BYTE_5,00008103,c,Byte,ETAS Pad Byte is used to place slew cals on the proper byte boundry. Changing it's value does nothing.
ENG_CONSTANTS,KE_ENGINE_SCHEDULE_RPM_HI,00008104,c,RPM,The engine speed above which some of the sync. code activation rate is changed.
ENG_CONSTANTS,KE_ENGINE_SCHEDULE_RPM_LO,00008106,c,RPM,The engine speed below which some of the sync. code activation rate is changed.
ENG_CONSTANTS,KE_ENGINE_IDENTIFIER,00008108,c,Engine_Identifier_Type,Describes the type of engine associated with the vehicle including the engine displacement and valve train geometry.
ENG_CONSTANTS,KE_NUMBER_CYLINDERS,00008109,c,SHORTCARD,Number of cylinders for this engine application.
ENG_CONSTANTS,KE_LOW_RESOLUTION_REFERENCE_ANGL,0000810A,c,Degrees,Identifies the number of degrees from a low resolution pulse to Top Dead Center of the cylinder.
ENG_CONSTANTS,KE_TYPE_OF_KNOCK_SENSORS,0000810C,c,Knock_Sensor_Type,Identifies whether the engine is equipped with resonant( 0 ) or flat response( 1 ) knock sensors.
ENG_CONSTANTS,KE_AMBIGUOUS_CAM_TRANSITION_LOW,0000810D,c,24X Region,Cam sensor transition low limit based on 24X regions.
ENG_CONSTANTS,KE_AMBIGUOUS_CAM_TRANSITION_HIGH,0000810E,c,24X Region,Cam sensor transition high limit based on 24X regions.
CRUISE,KE_PERFORM_CRUISE_SEQUENCING,0000810F,c,BOOLEAN,$000044EF
AIRFLOW,KA_EGR_AIR_FLOW,00008110,c,Grams Per Second,EGR air flow through the EGR valve.
AIRFLOW,KE_EGR_AIR_FLOW_FILT_COEF,000081D6,c,NONE 0-1,The calculated EGRflow for Dyna-Air will be filtered using this coefficient.
AIRFLOW,KE_EGR_DUTY_CYCLE_DYNAAIR,000081D8,c,Percent,The commanded EGR duty cycle must be at least this value to enable calculation of EGR air mass.
AIRFLOW,KE_VE_TEMPERATURE,000081DA,c,sqrt deg K,$000043BF
AIRFLOW,KV_VOLUMETRIC_EFFICIENCY_BARO_CO,000081DC,c,NONE 0-2,$000043C2
AIRFLOW,KA_VOLUMETRIC_EFFICIENCY_CRANK,000081F0,c,Percent,Volumetric efficiency at cranking speeds.
AIRFLOW,K_MAIN_VOLUMETRIC_EFFICIENCY,00008442,c,gm*K/kPa,The volumetric efficiency term used for modeling the air per cylinder for Dyna-Air calculations.
AIRFLOW,KV_GAMMA_INIT_COOLANT_BREAKPOINT,0000873A,c,Deg C,Breakpoints for selection coolant zone for initializing Filtered_VE_Correction_Factor.
AIRFLOW,KA_GAMMA_INIT_TABLE,0000873E,c,NONE 0-2,Initialize Filtered_VE_Correction_Factor to this value.
AIRFLOW,K_CYLINDER_VOLUME,0000875C,c,Liter,Volume of each cylinder in the engine.
AIRFLOW,KE_BACKUP_AIR_FLOW_FILTER_COEF,0000875E,c,NONE 0-1,Use this to filter air flow sensor reading to generate air flow 'prediction' in response to MAP OR TPS failure.
AIRFLOW,KE_HI_SPEED_DYNA_AIR_THRESH,00008760,c,RPM,Engine speed above which a filtered value OF Sensed_Air_Per_Cylinder is used instead of the Dyna-Air prediction.
AIRFLOW,KE_HI_SPEED_DYNA_AIR_HYSTERESIS,00008762,c,RPM,Amount by which engine speed must drop below KE_Hi_Speed_Dyna_Air_Thresh before the Dyna_Air prediction is used again.
AIRFLOW,KE_USE_CHARGE_TEMPERATURE,00008764,c,Boolean,$000043CB
AIRFLOW,K_DYNA_AIR_COEFFICIENT,00008766,c,Various,Array of corrective factors used to adjust the predicted volume of air that will get into the cylinder.
AIRFLOW,K_INITIAL_OPERATING_ZONE,000088CE,c,Op. Zone #,Initial engine operating zone.
AIRFLOW,K_WIDE_OPEN_THROTTLE_LO,000088D0,c,Percent,Minumum throttle percentage that is still considered wide open throttle.
AIRFLOW,K_IDLE_VEHICLE_SPEED_HI,000088D2,c,MPH,Maximum vehicle speed that is still considered idle conditions.
AIRFLOW,K_IDLE_THROTTLE_HI,000088D4,c,Percent,Maximum throttle percentage that is still considered idle conditions.
AIRFLOW,K_ENGINE_SPEED_UPPER_BOUND,000088D6,c,RPM,RPM boundaries between engine speed zones in the operating zones grid.
AIRFLOW,KE_ENGINE_SPEED_HYSTERESIS,000088DC,c,RPM,RPM boundary hysteresis for changing engine speed zones.
AIRFLOW,K_MANIFOLD_PRESSURE_UPPER_BOUND,000088DE,c,kPa,Pressure boundaries between manifold pressure zones in the operating zones grid.
AIRFLOW,KE_MANIFOLD_PRESSURE_HYSTERESIS,000088F6,c,kPa,Pressure boundary hysteresis for changing manifold pressure zones.
AIRFLOW,K_MAXFLOW_SAFETY_FACTOR,000088F8,c,NONE 0-2,A safety factor multiplied by the calculated maximum air flow limit used on the air flow variables used by the fuel logic.
AIRFLOW,K_DEEP_DECEL_MAP_THRESHOLD,000088FA,c,kPa,MAP threshold below which the engine is considered to be in deep deceleration.
AIRFLOW,K_MODEL_OF_AIR_FILTER_COEF,000088FC,c,NONE 0-1,Filter coefficient for the Model_Of_Air_Per_Cylinder term.
AIRFLOW,K_STEADY_STATE_RPM_THRESHOLD,000088FE,c,kPa,Steady state enable/disable threshold.  Used to determine if high MAP or low MAP conditions will be used.
AIRFLOW,K_STEADY_STATE_MAP_THRESHOLD,00008900,c,kPa,Steady state enable/disable threshold.  Used to determine if high MAP or low MAP conditions will be used.
AIRFLOW,K_STEADY_STATE_LOW_MAP_DELTA,00008902,c,kPa,"If low MAP conditions, delta MAP must equal this to enter steady state."
AIRFLOW,K_STEADY_STATE_HIGH_MAP_DELTA,00008904,c,kPa,Delta MAP criteria for enable/disable of steady state if high MAP conditions.
AIRFLOW,K_STEADY_STATE_LOW_TPS_DELTA,00008906,c,Percent,Delta TPS for disable of steady state if low MAP conditions.
AIRFLOW,K_STEADY_STATE_HIGH_TPS_DELTA,00008908,c,Percent,Delta TPS for disable of steady state if high MAP conditions.
AIRFLOW,KE_IDLE_SS_COUNTER_THRESH,0000890A,c,Ref Pulses,$000043D1
AIRFLOW,KE_IDLE_SS_INT_THRESH,0000890C,c,kPa,Change in MAP integrator required to disable steady state IF engine is currently in the steady state condition.
AIRFLOW,KE_IDLE_SS_MPH_THRESH,0000890E,c,MPH,Vehicle must be < this to enable the idle steady STATE detection algorithm.
AIRFLOW,KE_IDLE_SS_TPS_THRESH,00008910,c,Percent,Throttle position must be < this to enable the idle steady STATE detection algorithm.
AIRFLOW,KE_IDLE_TRANS_COUNTER_THRESH,00008912,c,Ref Pulses,$000043D2
AIRFLOW,KE_IDLE_TRANS_INT_THRESH,00008914,c,kPa,Change in MAP integrator required to disable steady state IF engine is currently NOT in the steady state condition.
AIRFLOW,K_VE_CORR_FACTOR_FILTER_COEF,00008916,c,Filt Coef,Filter coefficient for Filtered_VE_Correction_Factor.
AIRFLOW,K_VE_CORR_FACTOR_LOW_LIMIT,00008918,c,NONE 0-2,Lower limit of the Filtered_VE_Correction_Factor term.
AIRFLOW,K_VE_CORR_FACTOR_HIGH_LIMIT,0000891A,c,NONE 0-2,Upper limit of the Filtered_VE_Correction_Factor term.
AIRFLOW,K_USE_MAX_AIR_FIRST_TIME_IN_1,0000891C,c,BOOLEAN,TRUE if Air_Per_Cylinder 1 and 2 ahead are to be set to Maximum_Air_Per_Cylinder when zone 1 is entered.
AIRFLOW,K_VE_CORR_FACTOR_RESET_THRESH,0000891E,c,NONE 0-2,Reset Filtered_VE_Correction_Factor to 1.0 if it is less than this calibration when exiting deep deceleration.
AIRFLOW,KE_EGR_DIAG_FINISHED_TIME,00008920,c,Seconds,Dyna-Air learn is disabled during an intrusive EGR test and for this long after the intrusive EGR test has finished.
AIRFLOW,KE_CRANK_TO_RUN_RATIO,00008922,c,NONE,$000043D4
AIR_PUMP,KE_AIR_HOT_RESTART_TIME_ON,00008924,c,Seconds,$0000442B
AIR_PUMP,KE_MAX_TOTAL_PUMP_TIME_ON,00008926,c,Seconds,AIR system is forced off for the rest of this ignition cycle after being on for a total of this long in this ignition cycle.
AIR_PUMP,KE_AIR_DELAY_AFTER_START,00008928,c,Seconds,AIR system is not allowed on until engine has run for this long.
AIR_PUMP,KE_AIR_ECT_DISABLE,0000892A,c,Deg C,AIR system is not allowed on at this time if coolant temperature is below this.
AIR_PUMP,KE_AIR_OVERRUN_DISABLE_THRESHOLD,0000892C,c,kPa,AIR system is disabled when Manifold Pressure is < this AND remains diabled for KE_AIR_Extended_Overrun_Time thereafter.
AIR_PUMP,KE_AIR_EXTENDED_OVERRUN_TIME,0000892E,c,Seconds,$0000442C
AIR_PUMP,KE_AIR_HIGH_RPM_DISABLE_THRESHOL,00008930,c,RPM,AIR system is disabled when Engine Speed is > this FOR KE_AIR_High_RPM_Time and remains diabled until Engine Speed is <= this.
AIR_PUMP,KE_AIR_HIGH_RPM_TIME,00008932,c,Seconds,$0000442D
AIR_PUMP,KE_AIR_HIGH_VSS_DISABLE_THRESHOL,00008934,c,MPH,$0000442F
AIR_PUMP,KE_AIR_HIGH_MAP_DISABLE_THRESHOL,00008936,c,kPa,
AIR_PUMP,KE_AIR_PUMP_TURN_ON_DELAY,00008938,c,Seconds,Delay turning on AIR pump for this long after turning on AIR solenoid.
AIR_PUMP,KE_AIR_PUMP_TURN_OFF_DELAY,0000893A,c,Seconds,Delay turning off AIR pump for this long after turning off AIR solenoid.
BAROMETER,KE_BARO_DEFAULT_MAP_FAILED,0000893C,c,kPa,Default barometric pressure used if MAP sensor fails.
BAROMETER,KE_BARO_TPS_LIMIT,0000893E,c,Percent,Minimum throttle position to allow a part throttle barometer update.
BAROMETER,KE_BARO_TPS_DELTA_LIMIT,00008940,c,Percent,Minimum change in throttle position during last 100 mS to allow a part throttle barometer update.
BAROMETER,KE_BARO_MAP_DELTA_LIMIT,00008942,c,kPa,Maximum change in manifold pressure during last 100 mS to allow a part throttle barometer update.
BAROMETER,KE_BARO_STABILITY_TIME,00008944,c,Seconds,Minimum time MAP and throttle must be stable to allow a part throttle barometer update.
BAROMETER,KE_MIN_RPM_FOR_BARO_UPDATE,00008946,c,RPM,Minimum RPM at which to allow a barometric pressure update.
BAROMETER,KE_MAX_RPM_FOR_BARO_UPDATE,00008948,c,RPM,Maximum RPM at which to allow a barometric pressure update.
